"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.02.2022","43.512,3","44.385,6","45.757,2","43.224,1","2,77B","-1,94%"
"09.02.2022","44.375,0","44.074,0","44.780,6","43.146,8","1,51B","0,79%"
"08.02.2022","44.027,0","43.862,2","45.400,0","42.689,6","2,85B","0,46%"
"07.02.2022","43.825,7","42.425,5","44.460,5","41.658,4","2,20B","3,41%"
"06.02.2022","42.379,0","41.398,8","42.628,3","41.173,3","934,17M","2,38%"
"05.02.2022","41.394,7","41.558,6","41.900,0","40.961,9","1,35B","-0,41%"
"04.02.2022","41.563,6","37.320,6","41.693,1","37.027,1","2,53B","11,48%"
"03.02.2022","37.282,8","36.898,7","37.309,9","36.288,7","1,18B","1,11%"
"02.02.2022","36.872,1","38.729,8","38.844,8","36.671,7","1,35B","-4,72%"
"01.02.2022","38.699,5","38.465,2","39.228,7","38.026,8","1,33B","0,57%"
"31.01.2022","38.480,9","37.905,5","38.723,9","36.660,3","1,39B","1,49%"
"30.01.2022","37.917,7","38.163,9","38.314,9","37.381,7","812,75M","-0,65%"
"29.01.2022","38.167,1","37.718,5","38.683,3","37.344,5","989,65M","1,16%"
"28.01.2022","37.728,8","37.132,0","37.990,0","36.169,1","1,56B","1,45%"
"27.01.2022","37.188,0","36.780,3","37.207,0","35.528,7","1,93B","1,09%"
"26.01.2022","36.786,7","36.968,2","38.871,6","36.252,0","2,63B","-0,44%"
"25.01.2022","36.948,8","36.675,9","37.486,7","35.717,9","1,80B","0,72%"
"24.01.2022","36.683,0","36.229,0","37.395,6","32.968,9","3,19B","1,18%"
"23.01.2022","36.255,1","35.059,3","36.498,5","34.643,7","1,57B","3,38%"
